"","Brazil","France","United Kingdom","Greece","Ireland","South Africa","Spain","Marroco","USA","India","Japan","Australia","Mexico","China","Saudi Arabia"
"386",1,1,1,1,1,1,1,0,0,1,0,0,1,0,1
"387",0,1,1,1,1,1,1,0,1,0,1,1,1,0,1
"388",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"389",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"390",1,1,1,0,0,0,1,1,1,1,0,1,1,1,1
"391",0,1,0,1,0,1,0,1,0,1,1,1,0,0,1
"392",1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
"393",1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"394",1,1,1,0,0,1,1,1,1,1,0,1,1,1,1
"395",1,0,0,0,0,1,0,1,0,0,0,0,1,0,1
"396",0,0,0,1,1,0,0,1,1,1,1,1,1,1,0
"397",1,0,0,0,0,1,0,1,1,0,0,1,1,0,1
"398",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
"399",1,1,1,0,1,0,1,0,1,0,0,1,1,0,1
"400",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"401",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
"402",1,0,0,0,0,0,0,1,1,0,0,0,1,1,0
"403",0,1,1,0,0,1,1,1,0,1,1,1,0,0,0
"404",0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
"405",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"406",1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"407",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"408",0,0,0,0,1,0,0,0,0,0,1,1,0,1,0
"409",1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
"410",1,1,1,0,0,1,1,0,1,0,0,1,1,1,1
"411",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"412",1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
"413",1,1,1,1,1,0,0,1,1,1,1,1,1,1,1
"414",1,1,1,0,1,1,1,0,1,1,0,0,1,0,1
"415",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
